soil_type,nitrogen,phosphorus,potassium,organic_carbon,pH,recommended_crop,recommended_fertilizer
Alluvial,72.66,31.56,179.63,0.83,6.84,Wheat,NPK 10:26:26
Alluvial,59.81,37.03,164.32,0.67,7.25,Rice,NPK 10:26:26
Black,36.38,18.37,323.95,1.79,7.62,Cotton,NPK 20:20:0
Black,38.79,22.54,343.8,1.84,7.8,Cotton,Potash + Urea
Laterite,35.2,5.53,83.28,0.6,5.39,Tea,Organic Compost
Red,46.87,13.26,149.1,0.77,5.62,Groundnut,SSP + Urea
Red,57.07,15.8,154.77,0.63,5.51,Groundnut,SSP + Urea
Black,40.15,17.06,315.67,1.6,8.32,Pulses,Potash + Urea
Alluvial,69.4,30.7,178.53,0.98,6.87,Maize,Urea + MOP
Red,41.01,14.91,159.77,0.63,6.11,Maize,SSP + Urea
Black,27.33,24.43,286.77,1.55,7.86,Cotton,NPK 20:20:0
Laterite,18.79,12.13,121.6,0.6,4.77,Rubber,Organic Compost
Alluvial,56.34,26.21,214.76,0.96,6.76,Maize,Urea + DAP
Black,38.3,11.12,334.29,1.76,7.24,Soybean,Potash + Urea
Red,39.87,10.81,134.33,0.45,6.11,Maize,Gypsum + SSP
Alluvial,84.9,39.49,192.07,0.87,7.06,Rice,Urea + MOP
Red,49.66,9.67,156.58,0.7,5.96,Groundnut,Gypsum + SSP
Black,32.75,14.76,281.4,1.52,7.05,Pulses,Potash + Urea
Red,28.89,8.67,115.45,0.44,5.67,Groundnut,Gypsum + SSP
Black,27.76,24.46,302.37,1.15,6.89,Pulses,Potash + Urea
Red,49.45,11.9,146.11,0.55,5.56,Millets,Gypsum + SSP
Red,35.79,10.68,153.95,0.75,6.5,Millets,SSP + Urea
Red,36.44,16.27,129.72,0.71,5.9,Maize,SSP + Urea
Red,38.57,9.26,172.1,0.57,6.29,Groundnut,Gypsum + SSP
Laterite,16.19,12.09,96.87,0.53,5.65,Tea,Organic Compost
Alluvial,68.98,23.49,215.56,0.86,7.42,Sugarcane,NPK 10:26:26
Alluvial,71.86,34.48,198.58,0.96,7.13,Sugarcane,NPK 10:26:26
Black,37.93,14.33,328.04,1.87,8.19,Cotton,Potash + Urea
Red,57.02,10.61,150.0,0.74,6.14,Maize,Gypsum + SSP
Alluvial,81.74,28.37,178.98,0.91,7.11,Rice,NPK 10:26:26
Black,17.22,13.73,331.96,1.71,8.33,Soybean,NPK 20:20:0
Black,38.65,17.2,312.41,2.09,8.31,Cotton,Potash + Urea
Red,49.63,17.01,155.59,0.91,6.05,Maize,Gypsum + SSP
Black,43.55,14.83,315.25,1.28,7.71,Pulses,NPK 20:20:0
Black,23.33,20.61,240.11,1.92,8.0,Cotton,Potash + Urea
Alluvial,71.51,23.91,218.66,1.1,6.53,Rice,NPK 10:26:26
Black,38.39,14.84,326.61,1.04,8.45,Cotton,NPK 20:20:0
Red,51.34,19.26,130.14,0.54,6.45,Groundnut,SSP + Urea
Laterite,36.65,10.28,115.71,0.76,5.71,Rubber,Organic Compost
Black,33.0,15.88,308.5,2.15,8.06,Cotton,NPK 20:20:0
Black,29.65,14.06,271.91,1.6,7.11,Pulses,NPK 20:20:0
Laterite,18.75,8.87,124.03,0.37,5.32,Rubber,Organic Compost
Alluvial,66.21,26.06,188.75,1.16,7.28,Maize,NPK 10:26:26
Laterite,11.67,9.7,111.74,0.3,4.78,Tea,Organic Mix
Black,36.05,19.01,292.56,1.24,8.32,Cotton,NPK 20:20:0
Black,33.72,21.45,312.37,1.59,8.02,Cotton,NPK 20:20:0
Red,29.32,18.35,132.55,0.82,6.16,Maize,Gypsum + SSP
Black,37.61,19.46,311.0,1.35,7.12,Cotton,Potash + Urea
Red,25.49,16.09,131.1,0.49,5.71,Groundnut,SSP + Urea
Laterite,10.78,8.45,115.11,0.56,5.22,Tea,Organic Compost
Laterite,25.88,9.19,92.93,0.44,5.11,Tea,Organic Compost
Red,52.2,13.58,113.08,0.67,5.82,Maize,SSP + Urea
Alluvial,90.84,28.33,200.76,1.06,6.78,Maize,Urea + MOP
Red,26.02,6.94,123.71,0.72,6.42,Groundnut,Gypsum + SSP
Red,52.7,14.64,133.68,0.84,5.51,Millets,SSP + Urea
Alluvial,84.68,19.68,185.98,1.09,7.24,Wheat,Urea + MOP
Laterite,26.58,5.89,110.35,0.7,5.51,Tea,Organic Compost
Red,26.1,18.12,151.08,0.81,6.06,Millets,Gypsum + SSP
Red,23.61,12.1,148.85,0.7,5.91,Millets,Gypsum + SSP
Red,56.95,16.26,169.98,0.77,5.88,Maize,SSP + Urea
Black,41.09,14.67,336.3,1.15,8.14,Pulses,Potash + Urea
Black,42.56,16.8,297.77,1.67,7.75,Pulses,Potash + Urea
Alluvial,74.12,34.7,184.74,1.06,7.18,Maize,NPK 10:26:26
Laterite,27.1,10.28,95.24,0.64,5.28,Cashew,Organic Compost
Red,28.93,10.54,158.83,0.56,5.58,Maize,Gypsum + SSP
Alluvial,87.96,25.41,224.78,1.29,7.4,Sugarcane,Urea + DAP
Laterite,16.49,9.68,106.13,0.49,5.71,Tea,Organic Compost
Alluvial,60.81,25.52,213.92,1.36,6.84,Wheat,Urea + MOP
Black,27.64,23.56,295.12,1.59,8.13,Soybean,NPK 20:20:0
Red,55.55,13.81,135.07,0.52,5.66,Maize,Gypsum + SSP
Alluvial,60.35,24.19,205.13,0.86,7.35,Maize,Urea + MOP
Laterite,12.22,10.37,99.54,0.45,5.11,Rubber,Organic Mix
Black,43.33,18.6,308.14,1.07,7.37,Pulses,Potash + Urea
Alluvial,64.45,38.26,210.92,1.33,6.46,Wheat,NPK 10:26:26
Alluvial,57.19,21.55,190.49,1.13,6.74,Sugarcane,Urea + MOP
Laterite,21.99,12.8,98.3,0.57,4.92,Cashew,Organic Compost
Alluvial,75.09,21.17,227.5,1.07,6.8,Maize,NPK 10:26:26
Black,29.37,24.71,278.02,1.52,8.13,Pulses,Potash + Urea
Laterite,10.8,7.45,106.0,0.49,4.7,Rubber,Organic Compost
Laterite,23.01,6.18,108.58,0.73,5.71,Cashew,Organic Mix
Red,48.42,17.64,131.47,0.93,6.0,Millets,Gypsum + SSP
Red,23.24,18.44,147.61,0.52,5.7,Maize,SSP + Urea
Laterite,17.15,7.6,89.11,0.67,4.79,Tea,Organic Compost
Red,39.32,10.37,161.62,0.57,5.67,Groundnut,Gypsum + SSP
Laterite,20.59,10.42,91.84,0.67,5.39,Rubber,Organic Compost
Black,39.95,22.25,267.34,1.07,7.06,Pulses,Potash + Urea
Laterite,30.57,8.18,112.77,0.51,5.65,Cashew,Organic Mix
Laterite,17.71,7.87,105.23,0.46,5.95,Tea,Organic Mix
Alluvial,67.0,27.42,158.34,1.19,7.07,Wheat,Urea + MOP
Laterite,14.41,7.67,123.98,0.62,5.37,Rubber,Organic Mix
Red,36.33,10.69,138.46,0.98,5.41,Millets,Gypsum + SSP
Alluvial,67.33,23.82,202.4,1.17,7.29,Wheat,NPK 10:26:26
Red,35.06,17.27,165.18,0.71,6.38,Millets,SSP + Urea
Red,54.05,15.23,127.21,0.52,5.85,Maize,SSP + Urea
Alluvial,76.63,28.66,208.58,0.88,7.46,Sugarcane,Urea + MOP
Alluvial,58.77,33.96,177.14,1.21,6.63,Maize,NPK 10:26:26
Alluvial,59.16,25.79,220.55,1.33,6.52,Maize,Urea + MOP
Black,20.16,10.66,319.98,1.42,7.74,Cotton,NPK 20:20:0
Black,19.71,14.92,321.19,1.97,6.97,Pulses,NPK 20:20:0
Laterite,22.73,10.04,116.51,0.45,4.48,Rubber,Organic Mix
Alluvial,86.41,21.53,163.4,0.86,7.22,Rice,NPK 10:26:26
Black,39.69,16.38,315.85,2.15,7.51,Soybean,NPK 20:20:0
Red,53.16,15.84,139.15,0.52,6.27,Groundnut,SSP + Urea
Black,26.17,14.16,326.17,1.23,7.44,Cotton,Potash + Urea
Black,24.31,17.8,293.38,2.21,8.13,Soybean,Potash + Urea
Laterite,16.7,11.05,123.05,0.47,5.53,Cashew,Organic Mix
Laterite,19.74,7.2,82.61,0.6,4.7,Rubber,Organic Compost
Red,31.21,17.37,155.64,0.45,6.04,Maize,SSP + Urea
Black,21.19,11.19,249.73,0.99,8.34,Cotton,Potash + Urea
Red,52.21,17.7,116.67,0.82,5.73,Maize,Gypsum + SSP
Red,55.77,14.5,166.57,0.34,6.34,Groundnut,SSP + Urea
Black,23.04,12.27,254.3,1.32,7.31,Pulses,NPK 20:20:0
Black,22.22,9.25,325.3,1.58,7.21,Soybean,Potash + Urea
Red,38.44,13.46,144.77,0.35,6.41,Groundnut,SSP + Urea
Alluvial,58.24,26.45,214.07,0.88,6.8,Rice,Urea + MOP
Red,29.32,10.33,145.89,0.91,5.54,Groundnut,Gypsum + SSP
Alluvial,78.0,33.13,214.22,0.99,7.35,Rice,NPK 10:26:26
Alluvial,73.14,24.2,165.99,0.73,6.75,Wheat,Urea + MOP
Laterite,26.42,8.8,127.75,0.58,5.56,Rubber,Organic Compost
Black,27.06,16.57,277.07,1.82,7.61,Soybean,Potash + Urea
Black,19.84,12.72,313.4,2.16,7.09,Cotton,NPK 20:20:0
Red,56.89,9.17,146.09,0.67,5.94,Groundnut,Gypsum + SSP
Laterite,22.62,9.3,117.43,0.24,4.78,Cashew,Organic Compost
Laterite,17.45,6.45,104.35,0.55,5.21,Tea,Organic Compost
Laterite,25.74,6.68,87.43,0.54,4.53,Rubber,Organic Compost
Red,39.56,11.71,116.67,0.67,5.72,Groundnut,Gypsum + SSP
Laterite,13.54,9.98,120.09,0.43,5.79,Cashew,Organic Compost
Black,39.04,16.33,306.74,1.04,7.37,Soybean,Potash + Urea
Alluvial,58.02,21.78,159.39,0.92,6.87,Rice,Urea + DAP
Alluvial,87.65,34.93,188.12,1.33,7.07,Wheat,Urea + DAP
Black,28.82,17.81,273.34,1.88,7.42,Soybean,Potash + Urea
Laterite,31.26,5.96,95.72,0.4,5.67,Cashew,Organic Compost
Alluvial,76.54,25.04,183.34,1.15,7.07,Rice,NPK 10:26:26
Black,24.11,19.53,257.31,2.18,7.21,Cotton,NPK 20:20:0
Black,29.24,25.64,346.13,1.89,8.56,Soybean,Potash + Urea
Alluvial,62.64,30.55,214.39,0.92,7.47,Maize,Urea + MOP
Alluvial,84.62,20.04,216.35,1.36,7.27,Wheat,Urea + MOP
Black,34.72,15.17,318.44,1.32,8.46,Pulses,NPK 20:20:0
Black,30.06,13.46,298.58,1.64,8.28,Soybean,NPK 20:20:0
Alluvial,76.7,21.9,168.88,0.93,7.06,Maize,Urea + MOP
Alluvial,63.4,28.41,210.52,1.05,7.03,Wheat,Urea + MOP
Red,42.55,18.45,140.83,0.98,5.78,Groundnut,SSP + Urea
Black,33.98,20.65,275.74,1.63,7.42,Cotton,Potash + Urea
Red,37.3,15.18,135.61,0.73,5.66,Groundnut,SSP + Urea
Alluvial,78.59,25.61,219.7,0.89,7.43,Wheat,Urea + DAP
Black,19.73,15.69,254.75,1.8,8.1,Cotton,NPK 20:20:0
Alluvial,77.31,27.13,185.48,0.96,7.42,Rice,NPK 10:26:26
Laterite,27.02,9.01,116.2,0.47,5.65,Rubber,Organic Compost
Alluvial,84.53,30.61,197.74,1.28,7.1,Maize,Urea + DAP
Alluvial,79.14,21.49,174.44,0.85,7.25,Sugarcane,NPK 10:26:26
Red,31.81,12.26,125.87,0.44,5.9,Groundnut,Gypsum + SSP
Black,30.66,18.0,296.09,1.36,8.07,Pulses,NPK 20:20:0
Red,56.85,17.04,166.05,0.6,5.91,Groundnut,SSP + Urea
Black,30.57,20.14,297.91,1.1,7.86,Cotton,Potash + Urea
Red,34.09,9.33,138.68,0.41,5.73,Maize,SSP + Urea
Laterite,36.64,6.43,125.01,0.76,5.4,Tea,Organic Compost
Alluvial,81.76,26.12,178.12,0.97,7.51,Maize,NPK 10:26:26
Alluvial,66.72,33.17,171.73,0.98,7.08,Sugarcane,NPK 10:26:26
Black,45.4,24.09,314.28,1.06,8.19,Cotton,NPK 20:20:0
Red,41.37,10.15,117.0,0.62,6.13,Maize,SSP + Urea
Laterite,28.94,9.3,92.26,0.47,5.45,Rubber,Organic Mix
Black,26.12,24.46,247.0,1.98,8.14,Cotton,NPK 20:20:0
Red,29.6,14.77,154.36,0.5,5.45,Groundnut,Gypsum + SSP
Alluvial,65.5,27.42,201.12,1.41,6.63,Maize,Urea + DAP
Alluvial,85.1,20.75,163.78,1.34,7.27,Wheat,Urea + MOP
Laterite,25.73,6.03,86.4,0.59,4.63,Tea,Organic Mix
Alluvial,85.72,38.82,164.11,1.36,6.76,Maize,Urea + DAP
Alluvial,87.64,30.46,171.02,1.03,6.84,Maize,Urea + DAP
Black,25.85,14.04,340.2,1.0,8.02,Soybean,NPK 20:20:0
Black,45.43,25.5,308.63,2.17,7.25,Cotton,Potash + Urea
Laterite,12.27,9.3,119.66,0.5,5.37,Cashew,Organic Mix
Alluvial,77.52,28.62,225.67,1.18,6.97,Sugarcane,Urea + DAP
Laterite,26.39,5.8,96.66,0.48,5.7,Cashew,Organic Compost
Laterite,33.7,5.3,126.35,0.36,5.15,Cashew,Organic Mix
Black,40.1,12.76,313.65,1.76,8.43,Cotton,Potash + Urea
Red,33.19,8.73,129.89,0.63,5.76,Maize,SSP + Urea
Alluvial,86.31,37.74,182.77,1.05,7.05,Sugarcane,NPK 10:26:26
Red,44.67,13.47,131.32,0.86,5.77,Millets,Gypsum + SSP
Alluvial,73.37,38.96,189.59,1.32,6.72,Sugarcane,Urea + DAP
Black,34.1,16.09,244.65,1.41,8.07,Cotton,Potash + Urea
Black,28.7,9.01,280.0,1.97,8.04,Cotton,NPK 20:20:0
Alluvial,90.01,27.53,164.44,1.26,7.01,Wheat,NPK 10:26:26
Black,38.01,11.73,322.35,2.06,8.25,Soybean,NPK 20:20:0
Black,27.78,11.05,271.44,1.9,7.12,Soybean,Potash + Urea
Alluvial,88.39,28.61,190.3,1.0,6.94,Sugarcane,Urea + DAP
Black,38.36,14.33,269.19,1.71,7.72,Soybean,NPK 20:20:0
Red,49.6,10.75,146.55,0.98,6.15,Maize,SSP + Urea
Alluvial,84.89,24.98,151.73,1.19,7.32,Rice,Urea + MOP
Red,34.82,9.8,119.91,0.43,5.73,Groundnut,Gypsum + SSP
Alluvial,88.29,21.73,212.88,1.17,7.33,Wheat,Urea + DAP
Laterite,33.7,6.56,90.14,0.31,4.77,Tea,Organic Mix
Laterite,33.66,13.12,118.16,0.63,4.45,Tea,Organic Mix
Red,51.22,13.21,147.14,0.42,5.42,Maize,SSP + Urea
Black,26.04,24.03,303.74,2.21,7.42,Cotton,NPK 20:20:0
Black,41.97,20.97,260.24,1.51,7.63,Soybean,NPK 20:20:0
Laterite,24.76,9.22,104.44,0.54,4.6,Rubber,Organic Compost
Laterite,34.66,10.06,118.82,0.48,5.76,Cashew,Organic Mix
Laterite,26.34,9.07,135.06,0.62,4.61,Cashew,Organic Mix
Red,53.38,15.92,120.5,0.42,6.22,Groundnut,SSP + Urea
Laterite,11.92,9.2,85.31,0.49,5.78,Rubber,Organic Compost
Black,38.91,18.54,327.96,1.76,7.53,Soybean,Potash + Urea
Laterite,16.1,11.91,99.04,0.42,5.36,Cashew,Organic Compost
Black,20.2,13.93,269.8,2.16,7.04,Soybean,Potash + Urea
Red,31.08,10.4,146.02,0.88,5.64,Maize,Gypsum + SSP
Laterite,16.62,6.71,91.04,0.33,5.91,Cashew,Organic Compost
Alluvial,79.57,38.76,163.36,1.01,7.41,Sugarcane,NPK 10:26:26
Black,29.5,20.08,279.31,1.63,8.53,Soybean,NPK 20:20:0
Alluvial,57.97,36.51,208.67,1.23,6.49,Rice,NPK 10:26:26
Black,25.53,19.99,269.6,1.85,8.12,Pulses,Potash + Urea
Alluvial,76.4,26.16,211.19,1.07,6.72,Maize,Urea + MOP
Laterite,27.23,7.65,71.29,0.55,4.5,Rubber,Organic Mix
Black,21.05,9.15,332.83,1.72,7.23,Soybean,Potash + Urea
Red,33.56,17.69,148.96,0.82,6.18,Groundnut,SSP + Urea
Laterite,32.27,6.9,88.87,0.36,5.51,Tea,Organic Mix
Red,48.46,11.51,111.91,0.76,6.31,Maize,Gypsum + SSP
Black,33.04,18.72,285.74,1.38,7.94,Soybean,NPK 20:20:0
Red,44.86,16.05,153.5,0.79,5.85,Maize,Gypsum + SSP
Red,27.76,10.5,117.81,0.67,6.15,Maize,Gypsum + SSP
Red,44.29,17.5,144.3,0.45,5.86,Maize,SSP + Urea
Alluvial,75.01,31.02,173.81,1.36,7.19,Sugarcane,Urea + DAP
Red,39.96,10.68,118.15,0.55,5.87,Millets,Gypsum + SSP
Black,43.17,13.53,302.02,1.79,7.38,Cotton,Potash + Urea
Red,34.04,13.86,120.09,0.61,5.56,Maize,Gypsum + SSP
Red,54.57,11.17,128.62,0.52,6.38,Maize,SSP + Urea
Black,33.06,17.94,306.22,1.01,7.44,Cotton,NPK 20:20:0
Red,48.77,10.11,116.57,0.49,6.64,Groundnut,Gypsum + SSP
Alluvial,69.31,25.46,193.17,1.4,7.53,Wheat,Urea + MOP
Laterite,32.8,7.36,124.17,0.59,4.94,Cashew,Organic Compost
Black,23.04,22.73,289.64,1.6,8.12,Soybean,Potash + Urea
Red,33.91,13.42,134.9,0.81,6.37,Groundnut,Gypsum + SSP
Laterite,18.93,9.8,127.64,0.73,4.67,Rubber,Organic Compost
Laterite,10.24,8.74,99.46,0.43,5.28,Rubber,Organic Compost
Red,41.5,8.01,163.27,0.69,5.47,Maize,Gypsum + SSP
Alluvial,58.82,27.59,164.14,0.93,6.57,Rice,Urea + DAP
Black,46.15,18.53,253.65,1.67,7.56,Pulses,NPK 20:20:0
Alluvial,57.24,41.41,216.61,1.24,7.25,Sugarcane,NPK 10:26:26
Laterite,22.31,4.78,102.33,0.65,5.07,Rubber,Organic Mix
Red,56.95,14.26,162.57,0.81,6.08,Groundnut,Gypsum + SSP
Red,52.73,14.04,149.78,0.58,6.03,Maize,SSP + Urea
Red,50.9,10.23,156.13,0.79,5.6,Millets,Gypsum + SSP
Black,27.11,15.65,249.98,1.56,8.07,Soybean,Potash + Urea
Black,37.93,11.16,271.11,0.99,8.33,Soybean,Potash + Urea
Black,29.64,15.73,329.96,1.39,8.38,Cotton,Potash + Urea
Red,26.88,15.31,137.83,0.61,5.87,Groundnut,SSP + Urea
Red,25.85,12.32,104.48,0.39,5.97,Millets,SSP + Urea
Black,24.74,11.56,252.78,1.34,8.7,Cotton,Potash + Urea
Red,32.4,10.15,134.58,0.5,6.28,Maize,SSP + Urea
Red,37.4,8.81,129.2,0.85,6.13,Millets,SSP + Urea
Black,41.45,10.58,304.18,1.6,8.26,Cotton,NPK 20:20:0
Black,27.65,20.0,283.48,1.54,7.48,Pulses,NPK 20:20:0
Black,27.26,24.57,296.89,1.69,7.63,Cotton,NPK 20:20:0
Alluvial,75.37,25.24,218.48,1.37,7.25,Maize,NPK 10:26:26
Red,54.9,15.07,110.62,0.76,6.41,Groundnut,SSP + Urea
Red,27.93,9.81,132.57,0.57,5.95,Groundnut,SSP + Urea
Laterite,26.3,9.3,113.27,0.52,5.17,Tea,Organic Mix
Red,61.85,11.68,160.82,0.43,6.47,Millets,Gypsum + SSP
Alluvial,55.73,37.0,163.16,1.21,7.23,Maize,Urea + MOP
Red,47.86,9.79,168.79,0.71,6.18,Millets,SSP + Urea
Alluvial,88.22,22.8,150.74,1.15,6.74,Maize,NPK 10:26:26
Black,40.87,15.11,252.98,1.94,7.35,Pulses,NPK 20:20:0
Laterite,33.15,9.3,107.85,0.35,5.21,Tea,Organic Compost
Black,31.83,23.87,313.59,1.16,7.32,Pulses,NPK 20:20:0
Alluvial,84.52,31.91,223.81,0.8,7.21,Sugarcane,Urea + DAP
Laterite,16.89,6.2,125.1,0.57,5.37,Rubber,Organic Mix
Alluvial,76.89,33.47,213.28,1.23,6.92,Wheat,NPK 10:26:26
Black,45.73,9.66,333.36,1.43,7.32,Soybean,Potash + Urea
Laterite,25.27,10.22,122.09,0.3,4.68,Tea,Organic Compost
Alluvial,62.72,23.96,151.01,0.95,7.2,Wheat,NPK 10:26:26
Black,40.29,12.32,316.4,1.68,7.68,Cotton,NPK 20:20:0
Laterite,17.52,10.89,87.27,0.53,4.96,Rubber,Organic Compost
Alluvial,80.48,24.66,171.11,1.36,6.48,Rice,Urea + DAP
Alluvial,64.27,21.51,153.37,0.91,7.16,Wheat,Urea + DAP
Alluvial,67.76,32.05,169.62,1.39,6.86,Rice,Urea + DAP
Red,54.75,10.94,121.4,0.55,5.82,Groundnut,Gypsum + SSP
Laterite,27.61,7.59,89.53,0.46,5.44,Rubber,Organic Compost
Alluvial,58.46,34.3,189.07,0.95,6.66,Sugarcane,Urea + MOP
Alluvial,63.66,31.81,182.21,1.24,6.92,Sugarcane,Urea + DAP
Red,55.54,13.12,152.43,0.78,5.71,Maize,SSP + Urea
Laterite,13.22,12.33,120.83,0.41,5.53,Rubber,Organic Compost
Black,34.09,23.0,318.38,1.32,7.98,Pulses,NPK 20:20:0
Black,32.73,9.03,262.34,1.21,7.91,Soybean,NPK 20:20:0
Black,39.1,21.54,340.22,1.11,7.57,Soybean,Potash + Urea
Black,35.96,21.91,285.98,1.89,7.45,Pulses,Potash + Urea
Alluvial,77.1,31.55,206.03,1.04,7.12,Sugarcane,Urea + DAP
Alluvial,63.76,34.65,184.02,1.06,6.77,Wheat,Urea + DAP
Laterite,33.75,8.71,91.85,0.38,4.56,Rubber,Organic Compost
Laterite,23.68,9.04,114.36,0.63,5.65,Tea,Organic Mix
Black,40.85,22.3,284.91,1.44,7.45,Pulses,Potash + Urea
Laterite,18.93,6.91,131.28,0.51,5.16,Cashew,Organic Mix
Black,35.36,15.29,308.62,1.28,7.11,Pulses,NPK 20:20:0
Laterite,27.49,8.45,93.86,0.38,5.43,Tea,Organic Compost
Red,45.53,12.8,157.27,0.48,5.92,Millets,Gypsum + SSP
Black,26.43,17.39,305.48,1.92,7.91,Soybean,Potash + Urea
Red,53.14,15.11,153.53,0.81,5.63,Millets,Gypsum + SSP
Red,29.59,15.43,148.3,0.73,6.08,Maize,SSP + Urea
Red,42.07,8.06,119.3,0.64,6.08,Millets,Gypsum + SSP
Alluvial,65.91,18.99,208.49,1.04,7.06,Sugarcane,Urea + DAP
Alluvial,71.11,31.25,190.14,1.06,6.55,Sugarcane,Urea + DAP
Laterite,23.08,8.44,100.39,0.34,5.27,Rubber,Organic Mix
Black,45.29,19.77,244.83,1.99,7.76,Cotton,Potash + Urea
Red,23.45,10.46,151.62,0.63,5.92,Millets,Gypsum + SSP
Alluvial,82.52,20.67,192.23,1.21,7.23,Wheat,Urea + MOP
Black,25.1,17.72,253.41,2.17,7.35,Soybean,NPK 20:20:0
Laterite,29.04,9.85,119.98,0.34,5.02,Cashew,Organic Mix
Red,54.25,11.13,176.68,0.68,5.84,Millets,Gypsum + SSP
Red,38.8,17.39,160.83,0.64,6.35,Groundnut,SSP + Urea
Black,28.92,17.34,329.38,1.82,7.52,Soybean,Potash + Urea
Alluvial,84.46,21.92,190.42,1.11,6.68,Wheat,NPK 10:26:26
Black,22.03,9.84,266.02,1.66,8.36,Pulses,Potash + Urea
Black,26.08,14.37,262.9,1.51,8.06,Cotton,Potash + Urea
Alluvial,68.54,37.67,208.57,0.76,7.22,Maize,NPK 10:26:26
Red,50.51,9.48,108.32,0.4,5.63,Maize,Gypsum + SSP
Black,30.59,16.88,317.44,2.12,8.02,Pulses,NPK 20:20:0
Red,46.16,12.36,134.23,0.64,6.54,Maize,SSP + Urea
Red,38.29,13.08,143.21,0.63,5.68,Millets,Gypsum + SSP
Laterite,25.17,6.94,90.84,0.7,5.55,Rubber,Organic Mix
Black,28.77,11.68,290.5,1.28,7.82,Pulses,Potash + Urea
Alluvial,55.84,28.79,150.96,0.96,7.21,Maize,NPK 10:26:26
Red,50.42,14.5,131.82,0.74,5.82,Millets,Gypsum + SSP
Black,26.45,18.24,309.32,1.33,7.19,Soybean,NPK 20:20:0
Laterite,22.81,11.03,102.92,0.42,4.77,Rubber,Organic Mix
Black,32.89,17.19,253.37,1.62,8.36,Soybean,NPK 20:20:0
Red,44.71,14.09,131.38,0.74,5.76,Groundnut,Gypsum + SSP
Alluvial,67.89,37.99,203.59,1.1,6.59,Sugarcane,NPK 10:26:26
Laterite,23.72,8.05,83.3,0.55,4.85,Rubber,Organic Compost
Laterite,18.67,7.27,83.04,0.59,4.66,Cashew,Organic Mix
Laterite,23.01,5.16,110.55,0.48,5.57,Cashew,Organic Compost
Laterite,10.68,11.14,124.82,0.52,4.9,Cashew,Organic Mix
Black,36.43,23.12,325.0,1.04,8.26,Soybean,NPK 20:20:0
Red,39.76,9.28,143.73,0.71,6.17,Groundnut,SSP + Urea
Laterite,13.09,8.65,106.66,0.54,5.08,Rubber,Organic Compost
Alluvial,73.39,29.84,153.11,0.78,7.05,Wheat,NPK 10:26:26
Red,52.91,15.72,147.31,0.62,6.07,Groundnut,SSP + Urea
Alluvial,80.05,33.49,199.53,1.18,7.48,Rice,NPK 10:26:26
